Destino,Aeroporto Nacional,Origem
São Paulo,Aeroporto Internacional de Viracopos,China
São Paulo,Aeroporto Internacional de Guarulhos,China
São Paulo,Aeroporto Internacional de Viracopos,Alemanha
São Paulo,Aeroporto Internacional de Viracopos,Alemanha
Santa Catarina,Aeroporto Internacional de Guarulhos,Hong Kong
Santa Catarina,Aeroporto Internacional de Guarulhos,China
Minas Gerais,Aeroporto Internacional de Guarulhos,China
São Paulo,Aeroporto Internacional de Viracopos,Irlanda
São Paulo,Aeroporto Internacional de Viracopos,Irlanda
São Paulo,Aeroporto Internacional de Guarulhos,Taiwan (Formosa)
São Paulo,Aeroporto Internacional de Guarulhos,Alemanha
São Paulo,Aeroporto Internacional de Guarulhos,Alemanha
São Paulo,Aeroporto Internacional de Viracopos,Taiwan (Formosa)
Santa Catarina,Aeroporto Internacional de Viracopos,Alemanha
Santa Catarina,Aeroporto Internacional de Viracopos,Alemanha
Santa Catarina,Aeroporto Internacional de Viracopos,China
São Paulo,Aeroporto Internacional de Guarulhos,Malásia
Amazonas,Aeroporto Internacional de Manaus,China
Paraná,Aeroporto Internacional de Curitiba,China
São Paulo,Aeroporto Internacional de Viracopos,Polônia
São Paulo,Aeroporto Internacional de Viracopos,Polônia
Minas Gerais,Aeroporto Internacional de Viracopos,China
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Noruega
São Paulo,Aeroporto Internacional de Guarulhos,Itália
São Paulo,Aeroporto Internacional de Guarulhos,Itália
São Paulo,Aeroporto Internacional de Viracopos,República Tcheca
São Paulo,Aeroporto Internacional de Viracopos,República Tcheca
São Paulo,Aeroporto Internacional de Guarulhos,Polônia
São Paulo,Aeroporto Internacional de Guarulhos,Polônia
São Paulo,Aeroporto Internacional de Guarulhos,Irlanda
São Paulo,Aeroporto Internacional de Guarulhos,Irlanda
São Paulo,Aeroporto Internacional de Viracopos,Reino Unido
Espírito Santo,Aeroporto Internacional de Viracopos,China
São Paulo,Aeroporto Internacional de Guarulhos,Hungria
São Paulo,Aeroporto Internacional de Guarulhos,Hungria
São Paulo,Aeroporto Internacional de Viracopos,Hungria
São Paulo,Aeroporto Internacional de Viracopos,Hungria
Espírito Santo,Aeroporto Internacional de Viracopos,Malásia
São Paulo,Aeroporto Internacional de Viracopos,Suécia
São Paulo,Aeroporto Internacional de Viracopos,Suécia
Espírito Santo,Aeroporto Internacional de Vitória,Malásia
São Paulo,Aeroporto Internacional de Guarulhos,Japão
São Paulo,Aeroporto Internacional de Guarulhos,Reino Unido
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,China
Paraná,Aeroporto Internacional de Curitiba,Taiwan (Formosa)
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Taiwan (Formosa)
Santa Catarina,Aeroporto Internacional de Florianópolis,China
São Paulo,Aeroporto Internacional de Viracopos,Países Baixos (Holanda)
São Paulo,Aeroporto Internacional de Viracopos,Países Baixos (Holanda)
São Paulo,Aeroporto Internacional de Guarulhos,República Tcheca
São Paulo,Aeroporto Internacional de Guarulhos,República Tcheca
Amazonas,Aeroporto Internacional de Manaus,Coreia do Sul
Paraná,Aeroporto Internacional de Curitiba,República Tcheca
Paraná,Aeroporto Internacional de Curitiba,República Tcheca
São Paulo,Aeroporto Internacional de Viracopos,Japão
São Paulo,Aeroporto Internacional de Viracopos,Coreia do Sul
Espírito Santo,Aeroporto Internacional de Vitória,China
São Paulo,Aeroporto Internacional de Viracopos,Singapura
Bahia,Aeroporto Internacional de Salvador,China
Paraná,Aeroporto Internacional de Curitiba,Alemanha
Paraná,Aeroporto Internacional de Curitiba,Alemanha
Minas Gerais,Aeroporto Internacional de Guarulhos,Taiwan (Formosa)
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Alemanha
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Alemanha
São Paulo,Aeroporto Internacional de Viracopos,Malásia
Amazonas,Aeroporto Internacional de Manaus,Alemanha
Amazonas,Aeroporto Internacional de Manaus,Alemanha
Santa Catarina,Aeroporto Internacional de Guarulhos,Polônia
Santa Catarina,Aeroporto Internacional de Guarulhos,Polônia
São Paulo,Aeroporto Internacional de Guarulhos,Suíça
Minas Gerais,Aeroporto Internacional de Guarulhos,Países Baixos (Holanda)
Minas Gerais,Aeroporto Internacional de Guarulhos,Países Baixos (Holanda)
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Polônia
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Polônia
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Taiwan (Formosa)
São Paulo,Aeroporto Internacional de Viracopos,Itália
São Paulo,Aeroporto Internacional de Viracopos,Itália
Espírito Santo,Aeroporto Internacional de Vitória,Taiwan (Formosa)
São Paulo,Aeroporto Internacional de Guarulhos,Singapura
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Países Baixos (Holanda)
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Países Baixos (Holanda)
São Paulo,Aeroporto Internacional de Guarulhos,Bélgica
São Paulo,Aeroporto Internacional de Guarulhos,Bélgica
Paraná,Aeroporto Internacional de Curitiba,Reino Unido
Pará,Aeroporto Internacional de Belo Horizonte,Finlândia
Pará,Aeroporto Internacional de Belo Horizonte,Finlândia
Minas Gerais,Aeroporto Internacional do Rio de Janeiro,Hungria
Minas Gerais,Aeroporto Internacional do Rio de Janeiro,Hungria
Pernambuco,Aeroporto Internacional de Viracopos,China
Minas Gerais,Aeroporto Internacional de Viracopos,Irlanda
Minas Gerais,Aeroporto Internacional de Viracopos,Irlanda
São Paulo,Aeroporto Internacional de Viracopos,Tailândia
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Alemanha
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Alemanha
São Paulo,Aeroporto Internacional de Viracopos,França
São Paulo,Aeroporto Internacional de Viracopos,França
Minas Gerais,Aeroporto Internacional de Viracopos,República Tcheca
Minas Gerais,Aeroporto Internacional de Viracopos,República Tcheca
Bahia,Aeroporto Internacional de Salvador,Polônia
Bahia,Aeroporto Internacional de Salvador,Polônia
Paraná,Aeroporto Internacional de Curitiba,Hungria
Paraná,Aeroporto Internacional de Curitiba,Hungria
Espírito Santo,Aeroporto Internacional de Guarulhos,Reino Unido
São Paulo,Aeroporto Internacional de Guarulhos,França
São Paulo,Aeroporto Internacional de Guarulhos,França
Bahia,Aeroporto Internacional de Salvador,Taiwan (Formosa)
Santa Catarina,Aeroporto Internacional de Guarulhos,Alemanha
Santa Catarina,Aeroporto Internacional de Guarulhos,Alemanha
Maranhão,Aeroporto Internacional do Rio de Janeiro,Alemanha
Maranhão,Aeroporto Internacional do Rio de Janeiro,Alemanha
Distrito Federal,Aeroporto Internacional do Rio de Janeiro,Alemanha
Distrito Federal,Aeroporto Internacional do Rio de Janeiro,Alemanha
Rio Grande do Sul,Aeroporto Internacional de Guarulhos,Alemanha
Rio Grande do Sul,Aeroporto Internacional de Guarulhos,Alemanha
Santa Catarina,Aeroporto Internacional de Florianópolis,Taiwan (Formosa)
Rio de Janeiro,Aeroporto Internacional de Viracopos,Taiwan (Formosa)
Mato Grosso do Sul,Aeroporto Internacional de Guarulhos,Polônia
Mato Grosso do Sul,Aeroporto Internacional de Guarulhos,Polônia
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Países Baixos (Holanda)
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Países Baixos (Holanda)
Distrito Federal,Aeroporto Internacional do Rio de Janeiro,China
Bahia,Aeroporto Internacional de Guarulhos,Alemanha
Bahia,Aeroporto Internacional de Guarulhos,Alemanha
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Singapura
Santa Catarina,Aeroporto Internacional de Curitiba,Japão
Santa Catarina,Aeroporto Internacional de Guarulhos,Bélgica
Santa Catarina,Aeroporto Internacional de Guarulhos,Bélgica
São Paulo,Aeroporto Internacional de Guarulhos,Espanha
São Paulo,Aeroporto Internacional de Guarulhos,Espanha
Minas Gerais,Aeroporto Internacional de Guarulhos,Grécia
Minas Gerais,Aeroporto Internacional de Guarulhos,Grécia
Rio Grande do Norte,Aeroporto Internacional de Fortaleza ,China
São Paulo,Aeroporto Internacional de Guarulhos,Áustria
São Paulo,Aeroporto Internacional de Guarulhos,Áustria
Santa Catarina,Aeroporto Internacional de Viracopos,Itália
Santa Catarina,Aeroporto Internacional de Viracopos,Itália
São Paulo,Aeroporto Internacional de Viracopos,Bélgica
São Paulo,Aeroporto Internacional de Viracopos,Bélgica
Minas Gerais,Aeroporto Internacional de Viracopos,Países Baixos (Holanda)
Minas Gerais,Aeroporto Internacional de Viracopos,Países Baixos (Holanda)
Pernambuco,Aeroporto Internacional do Recife ,Dinamarca
Pernambuco,Aeroporto Internacional do Recife ,Dinamarca
Santa Catarina,Aeroporto Internacional de Guarulhos,Finlândia
Santa Catarina,Aeroporto Internacional de Guarulhos,Finlândia
São Paulo,Aeroporto Internacional de Viracopos,Finlândia
São Paulo,Aeroporto Internacional de Viracopos,Finlândia
São Paulo,Aeroporto Internacional de Viracopos,Suíça
Paraná,Aeroporto Internacional de Curitiba,Áustria
Paraná,Aeroporto Internacional de Curitiba,Áustria
Paraná,Aeroporto Internacional de Curitiba,Suíça
São Paulo,Aeroporto Internacional de Viracopos,Noruega
Minas Gerais,Aeroporto Internacional de Viracopos,Alemanha
Minas Gerais,Aeroporto Internacional de Viracopos,Alemanha
Santa Catarina,Aeroporto Internacional de Guarulhos,Taiwan (Formosa)
São Paulo,Aeroporto Internacional de Guarulhos,Países Baixos (Holanda)
São Paulo,Aeroporto Internacional de Guarulhos,Países Baixos (Holanda)
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Suíça
Santa Catarina,Aeroporto Internacional de Florianópolis,Hungria
Santa Catarina,Aeroporto Internacional de Florianópolis,Hungria
São Paulo,Aeroporto Internacional de Guarulhos,Noruega
Espírito Santo,Aeroporto Internacional de Vitória,Polônia
Espírito Santo,Aeroporto Internacional de Vitória,Polônia
Santa Catarina,Aeroporto Internacional de Guarulhos,República Tcheca
Santa Catarina,Aeroporto Internacional de Guarulhos,República Tcheca
Rio de Janeiro,Aeroporto Internacional de Guarulhos,Áustria
Rio de Janeiro,Aeroporto Internacional de Guarulhos,Áustria
Espírito Santo,Aeroporto Internacional de Vitória,Chipre
Espírito Santo,Aeroporto Internacional de Vitória,Chipre
Bahia,Aeroporto Internacional de Salvador,Alemanha
Bahia,Aeroporto Internacional de Salvador,Alemanha
Paraná,Aeroporto Internacional de Viracopos,China
Roraima,Aeroporto Internacional de Manaus,China
Pará,Aeroporto Internacional de Manaus,China
Minas Gerais,Aeroporto Internacional de Belo Horizonte,China
Amazonas,Aeroporto Internacional de Manaus,Alemanha
Amazonas,Aeroporto Internacional de Manaus,Alemanha
Amazonas,Aeroporto Internacional de Manaus,Taiwan (Formosa)
Santa Catarina,Aeroporto Internacional de Viracopos,Hungria
Santa Catarina,Aeroporto Internacional de Viracopos,Hungria
Santa Catarina,Aeroporto Internacional de Viracopos,Hong Kong
Amazonas,Aeroporto Internacional de Manaus,Japão
Paraná,Aeroporto Internacional de Curitiba,Polônia
Paraná,Aeroporto Internacional de Curitiba,Polônia
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Suécia
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Suécia
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Hungria
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Hungria
São Paulo,Aeroporto Internacional de Guarulhos,Grécia
São Paulo,Aeroporto Internacional de Guarulhos,Grécia
São Paulo,Aeroporto Internacional do Rio de Janeiro,Itália
São Paulo,Aeroporto Internacional do Rio de Janeiro,Itália
São Paulo,Aeroporto Internacional de Guarulhos,Indonésia
Bahia,Aeroporto Internacional de Salvador,República Tcheca
Bahia,Aeroporto Internacional de Salvador,República Tcheca
Amazonas,Aeroporto Internacional de Manaus,Itália
Amazonas,Aeroporto Internacional de Manaus,Itália
Paraná,Aeroporto Internacional de Curitiba,Malásia
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Áustria
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Áustria
Ceará,Aeroporto Internacional de Fortaleza ,Alemanha
Ceará,Aeroporto Internacional de Fortaleza ,Alemanha
Minas Gerais,Aeroporto Internacional de Viracopos,Taiwan (Formosa)
Bahia,Aeroporto Internacional de Viracopos,China
Rio de Janeiro,Aeroporto Internacional de Viracopos,Reino Unido
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,República Tcheca
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,República Tcheca
Goiás,Aeroporto Internacional de Guarulhos,China
São Paulo,Aeroporto Internacional do Rio de Janeiro,República Tcheca
São Paulo,Aeroporto Internacional do Rio de Janeiro,República Tcheca
Paraná,Aeroporto Internacional de Curitiba,Itália
Paraná,Aeroporto Internacional de Curitiba,Itália
Paraná,Aeroporto Internacional de Curitiba,Suécia
Paraná,Aeroporto Internacional de Curitiba,Suécia
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Itália
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Itália
Santa Catarina,Aeroporto Internacional de Guarulhos,Eslovênia
Santa Catarina,Aeroporto Internacional de Guarulhos,Eslovênia
Pernambuco,Aeroporto Internacional do Recife ,Países Baixos (Holanda)
Pernambuco,Aeroporto Internacional do Recife ,Países Baixos (Holanda)
São Paulo,Aeroporto Internacional de Guarulhos,Tailândia
Rio Grande do Sul,Aeroporto Internacional de Viracopos,Espanha
Rio Grande do Sul,Aeroporto Internacional de Viracopos,Espanha
Santa Catarina,Aeroporto Internacional de Guarulhos,Áustria
Santa Catarina,Aeroporto Internacional de Guarulhos,Áustria
São Paulo,Aeroporto Internacional de Viracopos,Espanha
São Paulo,Aeroporto Internacional de Viracopos,Espanha
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,China
Distrito Federal,Aeroporto Internacional de Brasília,China
Paraíba,Aeroporto Internacional de Guarulhos,Hong Kong
Paraná,Aeroporto Internacional de Guarulhos,China
Paraná,Aeroporto Internacional de Guarulhos,Áustria
Paraná,Aeroporto Internacional de Guarulhos,Áustria
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Alemanha
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Alemanha
Mato Grosso do Sul,Aeroporto Internacional de Viracopos,Polônia
Mato Grosso do Sul,Aeroporto Internacional de Viracopos,Polônia
Amazonas,Aeroporto Internacional de Manaus,Áustria
Amazonas,Aeroporto Internacional de Manaus,Áustria
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Reino Unido
Santa Catarina,Aeroporto Internacional de Guarulhos,Itália
Santa Catarina,Aeroporto Internacional de Guarulhos,Itália
Santa Catarina,Aeroporto Internacional de Curitiba,Áustria
Santa Catarina,Aeroporto Internacional de Curitiba,Áustria
Minas Gerais,Aeroporto Internacional de Viracopos,Reino Unido
Rio de Janeiro,Aeroporto Internacional de Viracopos,Alemanha
Rio de Janeiro,Aeroporto Internacional de Viracopos,Alemanha
Espírito Santo,Aeroporto Internacional de Guarulhos,Itália
Espírito Santo,Aeroporto Internacional de Guarulhos,Itália
São Paulo,Aeroporto Internacional de Guarulhos,Dinamarca
São Paulo,Aeroporto Internacional de Guarulhos,Dinamarca
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Japão
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Itália
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Itália
Rio de Janeiro,Aeroporto Internacional do Rio de Janeiro,Malásia
Minas Gerais,Aeroporto Internacional de Viracopos,Itália
Minas Gerais,Aeroporto Internacional de Viracopos,Itália
Rio de Janeiro,Aeroporto Internacional de Viracopos,China
Minas Gerais,Aeroporto Internacional de Guarulhos,República Tcheca
Minas Gerais,Aeroporto Internacional de Guarulhos,República Tcheca
Espírito Santo,Aeroporto Internacional do Rio de Janeiro,China
Paraíba,Aeroporto Internacional do Rio de Janeiro,Hungria
Paraíba,Aeroporto Internacional do Rio de Janeiro,Hungria
Espírito Santo,Aeroporto Internacional de Vitória,Áustria
Espírito Santo,Aeroporto Internacional de Vitória,Áustria
Rio de Janeiro,Aeroporto Internacional do Recife ,Hungria
Rio de Janeiro,Aeroporto Internacional do Recife ,Hungria
Bahia,Aeroporto Internacional de Viracopos,Hungria
Bahia,Aeroporto Internacional de Viracopos,Hungria
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Itália
Rio Grande do Sul,Aeroporto Internacional de Porto Alegre,Itália
São Paulo,Aeroporto Internacional de Guarulhos,Coreia do Sul
Paraíba,Aeroporto Internacional de Viracopos,China
Minas Gerais,Aeroporto Internacional de Belo Horizonte,Singapura
Pernambuco,Aeroporto Internacional de Guarulhos,Alemanha
Pernambuco,Aeroporto Internacional de Guarulhos,Alemanha
Santa Catarina,Aeroporto Internacional de Viracopos,Bélgica
Santa Catarina,Aeroporto Internacional de Viracopos,Bélgica
Paraná,Aeroporto Internacional de Curitiba,Tailândia
Paraná,Aeroporto Internacional de Viracopos,Taiwan (Formosa)
Distrito Federal,Aeroporto Internacional de Brasília,Reino Unido
Santa Catarina,Aeroporto Internacional de Curitiba,Reino Unido
Pará,Aeroporto Internacional de Fortaleza ,Áustria
Pará,Aeroporto Internacional de Fortaleza ,Áustria
